Velocity,AOA,Inaccuracy,d2Yl,y_TE,a_TE,CL,CD
64,2,-1,0.1,0,5,0.407773649,0.011266701
64,4,-1,0.1,0,5,0.651146775,0.012192035
64,6,-1,0.1,0,5,0.890503013,0.013845427
64,8,-1,0.1,0,5,1.111653799,0.017793649
55,-4,-1,0.1,0,5,-0.337854093,0.012548825
55,-2,-1,0.1,0,5,-0.094358245,0.011362528
55,0,-1,0.1,0,5,0.15698847,0.010977301
55,2,-1,0.1,0,5,0.409405547,0.011597363
55,4,-1,0.1,0,5,0.650478693,0.012553241
55,6,-1,0.1,0,5,0.886684963,0.014265839
55,8,-1,0.1,0,5,1.101349412,0.018446016
64,-4,-1,-0.1,0,5,-0.396154231,0.012839097
64,-2,-1,-0.1,0,5,-0.145377059,0.011389576
64,0,-1,-0.1,0,5,0.104169728,0.010830663
64,2,-1,-0.1,0,5,0.34957921,0.011206646
64,4,-1,-0.1,0,5,0.597334454,0.012407692
64,6,-1,-0.1,0,5,0.827237637,0.014007325
64,8,-1,-0.1,0,5,1.050038631,0.01788342
55,-4,-1,-0.1,0,5,-0.390511616,0.013101702
55,-2,-1,-0.1,0,5,-0.140494676,0.011660719
55,0,-1,-0.1,0,5,0.10728237,0.011119926
55,2,-1,-0.1,0,5,0.351973865,0.011541139
55,4,-1,-0.1,0,5,0.596957425,0.01277656
55,6,-1,-0.1,0,5,0.822049553,0.014461692
55,8,-1,-0.1,0,5,1.038318653,0.018544841
64,-4,-1,-0.1,0,-5,-0.197851744,0.012166085
64,-2,-1,-0.1,0,-5,0.051364838,0.01132497
64,0,-1,-0.1,0,-5,0.295103785,0.011309377
64,2,-1,-0.1,0,-5,0.547328907,0.011968633
64,4,-1,-0.1,0,-5,0.784758898,0.012805391
64,6,-1,-0.1,0,-5,1.025656458,0.015084118
64,8,-1,-0.1,0,-5,1.209986623,0.019051536
55,-4,-1,-0.1,0,-5,-0.199052778,0.012462886
55,-2,-1,-0.1,0,-5,0.048845477,0.011613477
55,0,-1,-0.1,0,-5,0.298144186,0.011474348
55,2,-1,-0.1,0,-5,0.541193265,0.012290601
55,4,-1,-0.1,0,-5,0.777286092,0.013155272
55,6,-1,-0.1,0,-5,1.016955219,0.015506477
55,8,-1,-0.1,0,-5,1.192590284,0.019626574
64,-4,-1,0.1,0,-10,-0.066374758,0.011767488
64,-2,-1,0.1,0,-10,0.189098123,0.010984887
64,0,-1,0.1,0,-10,0.4361971,0.011097547
64,2,-1,0.1,0,-10,0.6883663,0.011985634
64,4,-1,0.1,0,-10,0.922635171,0.013421634
64,6,-1,0.1,0,-10,1.152528864,0.016002871
64,8,-1,0.1,0,-10,1.358271623,0.018888178
55,-4,-1,0.1,0,-10,-0.070295327,0.012047551
55,-2,-1,0.1,0,-10,0.183999205,0.011263352
55,0,-1,0.1,0,-10,0.429488631,0.011400542
55,2,-1,0.1,0,-10,0.68060256,0.012298795
55,4,-1,0.1,0,-10,0.912731912,0.013764924
55,6,-1,0.1,0,-10,1.136492979,0.016491155
55,8,-1,0.1,0,-10,1.339587163,0.019459173
64,-4,-1,-0.1,0,-10,-0.119841445,0.012119061
64,-2,-1,-0.1,0,-10,0.136066055,0.011068096
64,0,-1,-0.1,0,-10,0.385678867,0.011258067
64,2,-1,-0.1,0,-10,0.625953735,0.012074456
64,4,-1,-0.1,0,-10,0.872598703,0.013432717
64,6,-1,-0.1,0,-10,1.101726633,0.015712373
64,8,-1,-0.1,0,-10,1.282841286,0.019287183
55,-4,-1,-0.1,0,-10,-0.124048069,0.012420058
55,-2,-1,-0.1,0,-10,0.130039266,0.011355364
55,0,-1,-0.1,0,-10,0.378433964,0.011568175
55,2,-1,-0.1,0,-10,0.616891002,0.012397967
55,4,-1,-0.1,0,-10,0.862961463,0.013785745
55,6,-1,-0.1,0,-10,1.085713975,0.016127445
55,8,-1,-0.1,0,-10,1.263959206,0.019896559
61,-4,-1,0.1,0,-15,0.016732749,0.012059169
61,-2,-1,0.1,0,-15,0.273342806,0.011309951
61,0,-1,0.1,0,-15,0.514959233,0.011200695
61,2,-1,0.1,0,-15,0.768149523,0.012324261
61,4,-1,0.1,0,-15,1.019874448,0.014097775
61,6,-1,0.1,0,-15,1.233146126,0.016280367
61,8,-1,0.1,0,-15,1.436602268,0.020123546
56,-4,-1,0.1,0,-15,0.013549062,0.012239416
56,-2,-1,0.1,0,-15,0.269323159,0.01147457
56,0,-1,0.1,0,-15,0.509353048,0.011377285
56,2,-1,0.1,0,-15,0.762025279,0.012512226
56,4,-1,0.1,0,-15,1.013080347,0.014302276
56,6,-1,0.1,0,-15,1.221970284,0.01654114
56,8,-1,0.1,0,-15,1.424203102,0.020440219
61,-4,-1,-0.1,0,-15,-0.066423885,0.012150192
61,-2,-1,-0.1,0,-15,0.185997563,0.011758256
61,0,-1,-0.1,0,-15,0.4291162,0.011277274
61,2,-1,-0.1,0,-15,0.671915929,0.012287236
61,4,-1,-0.1,0,-15,0.887652387,0.013425807
61,6,-1,-0.1,0,-15,1.131698323,0.01645074
61,8,-1,-0.1,0,-15,1.319996437,0.019142307
56,-4,-1,-0.1,0,-15,-0.070243296,0.01232956
56,-2,-1,-0.1,0,-15,0.18175324,0.011926036
56,0,-1,-0.1,0,-15,0.423658201,0.011464716
56,2,-1,-0.1,0,-15,0.665972218,0.012472872
56,4,-1,-0.1,0,-15,0.877295164,0.01365909
56,6,-1,-0.1,0,-15,1.121237407,0.016709668
56,8,-1,-0.1,0,-15,1.307535177,0.019477731
61,-4,-1,0.1,0.05,0,-0.780825472,0.01589453
61,-2,-1,0.1,0.05,0,-0.553592659,0.014070411
61,0,-1,0.1,0.05,0,-0.308707719,0.011816477
61,2,-1,0.1,0.05,0,-0.060667339,0.010954175
61,4,-1,0.1,0.05,0,0.191990791,0.011036197
61,6,-1,0.1,0.05,0,0.44345915,0.011569639
61,8,-1,0.1,0.05,0,0.698523806,0.013136486
56,-4,-1,0.1,0.05,0,-0.777984452,0.016110332
56,-2,-1,0.1,0.05,0,-0.552560878,0.014245323
56,0,-1,0.1,0.05,0,-0.308345665,0.01197528
56,2,-1,0.1,0.05,0,-0.061124112,0.011108272
56,4,-1,0.1,0.05,0,0.190877089,0.011201615
56,6,-1,0.1,0.05,0,0.441459924,0.011731779
56,8,-1,0.1,0.05,0,0.696116655,0.01332914
61,-4,-1,0.1,-0.05,0,0.291573329,0.011535839
61,-2,-1,0.1,-0.05,0,0.535025479,0.012486378
61,0,-1,0.1,-0.05,0,0.769552658,0.013011786
61,2,-1,0.1,-0.05,0,0.997210534,0.015176271
61,4,-1,0.1,-0.05,0,1.18999843,0.018540378
61,6,-1,0.1,-0.05,0,1.361452419,0.024090469
61,8,-1,0.1,-0.05,0,1.476414839,0.030040035
56,-4,-1,0.1,-0.05,0,0.292463666,0.011713543
56,-2,-1,0.1,-0.05,0,0.534915101,0.012695031
56,0,-1,0.1,-0.05,0,0.767494018,0.013265843
56,2,-1,0.1,-0.05,0,0.993553767,0.015478368
56,4,-1,0.1,-0.05,0,1.181717146,0.018928578
56,6,-1,0.1,-0.05,0,1.348389837,0.02471823
56,8,-1,0.1,-0.05,0,1.463794474,0.030660401
61,-4,-1,-0.1,0.05,0,-0.816335517,0.016568138
61,-2,-1,-0.1,0.05,0,-0.588461066,0.013629094
61,0,-1,-0.1,0.05,0,-0.349190797,0.011868902
61,2,-1,-0.1,0.05,0,-0.103251086,0.011085881
61,4,-1,-0.1,0.05,0,0.143553512,0.011035157
61,6,-1,-0.1,0.05,0,0.393132116,0.011578008
61,8,-1,-0.1,0.05,0,0.632498316,0.01285277
56,-4,-1,-0.1,0.05,0,-0.811837314,0.016825707
56,-2,-1,-0.1,0.05,0,-0.586375087,0.013817034
56,0,-1,-0.1,0.05,0,-0.349059841,0.012034833
56,2,-1,-0.1,0.05,0,-0.103509632,0.011250118
56,4,-1,-0.1,0.05,0,0.142388455,0.011207994
56,6,-1,-0.1,0.05,0,0.390753005,0.01174266
56,8,-1,-0.1,0.05,0,0.628566476,0.013040824
61,-4,-1,-0.1,-0.05,0,0.240208126,0.011653473
61,-2,-1,-0.1,-0.05,0,0.484358866,0.012081636
61,0,-1,-0.1,-0.05,0,0.720674477,0.012831988
61,2,-1,-0.1,-0.05,0,0.945021491,0.014912898
61,4,-1,-0.1,-0.05,0,1.129148395,0.018248821
61,6,-1,-0.1,-0.05,0,1.271814038,0.024315807
61,8,-1,-0.1,-0.05,0,1.419015631,0.031009524
56,-4,-1,-0.1,-0.05,0,0.241546154,0.011823216
56,-2,-1,-0.1,-0.05,0,0.48392948,0.012311608
56,0,-1,-0.1,-0.05,0,0.718566605,0.013098664
56,2,-1,-0.1,-0.05,0,0.940792772,0.015197174
56,4,-1,-0.1,-0.05,0,1.11975393,0.018672522
56,6,-1,-0.1,-0.05,0,1.259066936,0.024899553
56,8,-1,-0.1,-0.05,0,1.405193806,0.031699821
61,-4,-1,0.1,0.05,5,-0.861636498,0.017892449
61,-2,-1,0.1,0.05,5,-0.642733074,0.013957933
61,0,-1,0.1,0.05,5,-0.404093547,0.011958621
61,2,-1,0.1,0.05,5,-0.153964743,0.011068645
61,4,-1,0.1,0.05,5,0.102888591,0.010789313
